design,item,x_mm,y_mm,z_mm,nx,ny,nz,sagx,sagy,sagz,roc_mm,aperture_r_mm,hole_r_mm
D180_24m_H2,mirror_3,26.410361327871364,63.760252504920935,0.0,-0.38268343236508984,-0.9238795325112867,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D180_24m_H2,mirror_4,4.225864216881789e-15,69.0136,0.0,-6.123233995736766e-17,-1.0,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D180_24m_H2,mirror_5,-26.410361327871357,63.760252504920935,0.0,0.3826834323650897,-0.9238795325112867,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D180_24m_H2,mirror_6,-48.79998455409591,48.799984554095914,0.0,0.7071067811865475,-0.7071067811865476,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D180_24m_H2,mirror_7,-63.760252504920935,26.410361327871367,0.0,0.9238795325112867,-0.3826834323650899,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D180_24m_H2,mirror_8,-69.0136,8.451728433763577e-15,0.0,1.0,-1.2246467991473532e-16,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D180_24m_H2,mirror_9,-63.76025250492094,-26.41036132787135,0.0,0.9238795325112868,0.38268343236508967,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D180_24m_H2,mirror_10,-48.79998455409592,-48.79998455409591,0.0,0.7071067811865477,0.7071067811865475,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D180_24m_H2,mirror_11,-26.410361327871396,-63.76025250492092,0.0,0.38268343236509034,0.9238795325112865,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D180_24m_H2,mirror_12,-1.2677592650645364e-14,-69.0136,0.0,1.8369701987210297e-16,1.0,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D180_24m_H2,mirror_13,26.410361327871374,-63.76025250492093,0.0,-0.38268343236509006,0.9238795325112867,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D180_24m_H2,mirror_14,48.7999845540959,-48.79998455409592,0.0,-0.7071067811865474,0.7071067811865477,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D180_24m_H2,mirror_15,63.76025250492092,-26.4103613278714,0.0,-0.9238795325112865,0.3826834323650904,-0.0,0.0,0.0,1.0,400.0,11.4,0.0
D180_24m_H2,launch_ray,-31.380076309970974,-25.034252470873746,-3.331343392295686,0.969796062514934,0.24182917058737938,0.03184728220037487,0.4215,0.0021218,176.0,23.826005275797712,,1.3
D180_15m_sparse,mirror_0,69.6324,0.0,0.0,-1.0,-0.0,-0.0,0.0,0.0,1.0,200.0,11.4,1.3
D180_15m_sparse,mirror_1,64.33194915963892,26.64716583581888,0.0,-0.9238795325112867,-0.3826834323650898,-0.0,0.0,0.0,1.0,200.0,11.4,0.0
D180_15m_sparse,mirror_2,49.23754223029416,49.23754223029416,0.0,-0.7071067811865476,-0.7071067811865476,-0.0,0.0,0.0,1.0,200.0,11.4,0.0
D180_15m_sparse,mirror_3,26.647165835818882,64.33194915963892,0.0,-0.38268343236508984,-0.9238795325112867,-0.0,0.0,0.0,1.0,200.0,11.4,0.0
D180_15m_sparse,mirror_4,4.263754788847408e-15,69.6324,0.0,-6.123233995736766e-17,-1.0,-0.0,0.0,0.0,1.0,200.0,11.4,0.0
D180_15m_sparse,mirror_5,-26.647165835818875,64.33194915963892,0.0,0.3826834323650897,-0.9238795325112867,-0.0,0.0,0.0,1.0,200.0,11.4,0.0
D180_15m_sparse,mirror_6,-49.23754223029415,49.23754223029416,0.0,0.7071067811865475,-0.7071067811865476,-0.0,0.0,0.0,1.0,200.0,11.4,0.0
D180_15m_sparse,mirror_7,-64.33194915963892,26.647165835818885,0.0,0.9238795325112867,-0.3826834323650899,-0.0,0.0,0.0,1.0,200.0,11.4,0.0
D180_15m_sparse,mirror_8,-69.6324,8.527509577694816e-15,0.0,1.0,-1.2246467991473532e-16,-0.0,0.0,0.0,1.0,200.0,11.4,0.0
D180_15m_sparse,mirror_9,-64.33194915963894,-26.64716583581887,0.0,0.9238795325112868,0.38268343236508967,-0.0,0.0,0.0,1.0,200.0,11.4,0.0
D180_15m_sparse,mirror_10,-49.23754223029417,-49.23754223029415,0.0,0.7071067811865477,0.7071067811865475,-0.0,0.0,0.0,1.0,200.0,11.4,0.0
D180_15m_sparse,mirror_11,-26.647165835818917,-64.33194915963891,0.0,0.38268343236509034,0.9238795325112865,-0.0,0.0,0.0,1.0,200.0,11.4,0.0
D180_15m_sparse,mirror_12,-1.2791264366542223e-14,-69.6324,0.0,1.8369701987210297e-16,1.0,-0.0,0.0,0.0,1.0,200.0,11.4,0.0
D180_15m_sparse,mirror_13,26.647165835818896,-64.33194915963892,0.0,-0.38268343236509006,0.9238795325112867,-0.0,0.0,0.0,1.0,200.0,11.4,0.0
D180_15m_sparse,mirror_14,49.237542230294146,-49.23754223029417,0.0,-0.7071067811865474,0.7071067811865477,-0.0,0.0,0.0,1.0,200.0,11.4,0.0
D180_15m_sparse,mirror_15,64.33194915963891,-26.64716583581892,0.0,-0.9238795325112865,0.3826834323650904,-0.0,0.0,0.0,1.0,200.0,11.4,0.0
D180_15m_sparse,launch_ray,-33.334494175294424,-17.423388942659205,-1.9730922188487674,0.9858140192907748,0.16681304433624963,0.018550676781199243,0.2,0.001654,112.0,15.297950962488704,,1.3
D130_9m_halfinch,mirror_0,51.5993,0.0,0.0,-1.0,-0.0,-0.0,0.0,0.0,1.0,100.0,5.7,0.8
D130_9m_halfinch,mirror_1,46.48936290555729,22.388097219848618,0.0,-0.9009688679024191,-0.4338837391175581,-0.0,0.0,0.0,1.0,100.0,5.7,0.0
D130_9m_halfinch,mirror_2,32.171637333049354,40.34195721331261,0.0,-0.6234898018587336,-0.7818314824680298,-0.0,0.0,0.0,1.0,100.0,5.7,0.0
